City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
Sambava,-14.2667,50.1667,69.98,75,56,14.43,MG,light rain,2022-08-11 19:51:12
Okato,-39.2,173.8833,38.68,83,19,8.28,NZ,few clouds,2022-08-11 19:53:27
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Saint George,37.1041,-113.5841,93.43,35,0,1.99,US,clear sky,2022-08-11 19:50:55
Hami,42.8,93.45,87.19,27,40,14.23,CN,scattered clouds,2022-08-11 19:53:31
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Pisco,-13.7,-76.2167,63.01,82,40,8.05,PE,mist,2022-08-11 19:53:34
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Vuktyl,63.8567,57.3094,50.77,90,5,6.33,RU,clear sky,2022-08-11 19:53:37
Harper,4.375,-7.7169,76.35,78,99,10.65,LR,overcast clouds,2022-08-11 19:53:38
Aklavik,68.2191,-135.0107,62.6,59,20,5.75,CA,few clouds,2022-08-11 19:53:40
Dunedin,-45.8742,170.5036,36.81,76,3,1.99,NZ,clear sky,2022-08-11 19:52:34
Victoria,22.2855,114.1577,81.32,93,99,3.0,HK,overcast clouds,2022-08-11 19:48:30
Butaritari,3.0707,172.7902,81.86,74,99,12.19,KI,overcast clouds,2022-08-11 19:52:07
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Bengkulu,-3.8004,102.2655,76.33,91,46,3.49,ID,scattered clouds,2022-08-11 19:53:45
Hun,29.1268,15.9477,88.11,22,0,7.78,LY,clear sky,2022-08-11 19:53:47
Sao Joao Da Barra,-21.6403,-41.0511,78.89,55,98,25.61,BR,overcast clouds,2022-08-11 19:51:34
Iquique,-20.2208,-70.1431,60.84,68,5,3.85,CL,clear sky,2022-08-11 19:53:49
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Hermanus,-34.4187,19.2345,54.81,77,100,13.11,ZA,overcast clouds,2022-08-11 19:49:02
Mizdah,31.4451,12.9801,80.67,46,0,12.55,LY,clear sky,2022-08-11 19:53:53
High Level,58.5169,-117.136,59.11,67,75,10.36,CA,broken clouds,2022-08-11 19:53:55
Faanui,-16.4833,-151.75,78.22,75,9,14.27,PF,clear sky,2022-08-11 19:53:56
Lebu,-37.6167,-73.65,52.5,80,100,3.96,CL,overcast clouds,2022-08-11 19:53:58
Barrow,71.2906,-156.7887,44.62,87,100,20.71,US,mist,2022-08-11 19:50:03
Qaanaaq,77.484,-69.3632,39.07,71,97,7.07,GL,overcast clouds,2022-08-11 19:53:04
San Rafael,-34.6177,-68.3301,61.9,30,0,9.93,AR,clear sky,2022-08-11 19:54:02
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Qianan,44.9932,124.0581,61.77,77,1,4.45,CN,clear sky,2022-08-11 19:54:04
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Ponta Do Sol,32.6667,-17.1,74.01,72,70,3.87,PT,broken clouds,2022-08-11 19:54:07
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Sangar,63.9242,127.4739,53.98,96,43,1.43,RU,scattered clouds,2022-08-11 19:54:11
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Vaini,-21.2,-175.2,73.56,83,40,11.5,TO,scattered clouds,2022-08-11 19:46:52
Bredasdorp,-34.5322,20.0403,52.79,86,100,5.68,ZA,overcast clouds,2022-08-11 19:52:13
Yulara,-25.2406,130.9889,45.52,47,0,9.08,AU,clear sky,2022-08-11 19:54:15
Avarua,-21.2078,-159.775,75.25,83,20,12.66,CK,few clouds,2022-08-11 19:50:59
Quatre Cocos,-20.2078,57.7625,68.11,70,83,17.98,MU,light rain,2022-08-11 19:54:18
Nome,64.5011,-165.4064,51.87,83,100,8.05,US,overcast clouds,2022-08-11 19:54:19
Santhia,45.3663,8.1726,80.02,52,90,1.72,IT,overcast clouds,2022-08-11 19:54:21
Panjab,34.388,67.0233,57.06,43,55,6.06,AF,broken clouds,2022-08-11 19:54:22
Jamestown,42.097,-79.2353,76.59,46,75,10.36,US,broken clouds,2022-08-11 19:48:42
Grindavik,63.8424,-22.4338,51.75,87,75,12.66,IS,broken clouds,2022-08-11 19:49:10
Harper,4.375,-7.7169,76.35,78,99,10.65,LR,overcast clouds,2022-08-11 19:53:38
East London,-33.0153,27.9116,65.25,81,100,5.84,ZA,overcast clouds,2022-08-11 19:48:36
Saskylakh,71.9167,114.0833,42.87,71,100,6.8,RU,overcast clouds,2022-08-11 19:54:29
Torbay,47.6666,-52.7314,62.28,88,100,8.05,CA,light intensity drizzle,2022-08-11 19:46:56
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Severo-Kurilsk,50.6789,156.125,55.99,96,95,13.2,RU,overcast clouds,2022-08-11 19:47:18
Melfort,52.8667,-104.6177,76.53,45,100,10.49,CA,overcast clouds,2022-08-11 19:54:34
Ponta Do Sol,32.6667,-17.1,74.01,72,70,3.87,PT,broken clouds,2022-08-11 19:54:07
Castro,-24.7911,-50.0119,56.46,59,0,5.84,BR,clear sky,2022-08-11 19:53:08
Khatanga,71.9667,102.5,44.11,66,100,6.26,RU,overcast clouds,2022-08-11 19:51:57
Faanui,-16.4833,-151.75,78.22,75,9,14.27,PF,clear sky,2022-08-11 19:53:56
Andenes,69.3143,16.1194,49.98,81,75,27.63,NO,light rain,2022-08-11 19:54:40
East London,-33.0153,27.9116,65.25,81,100,5.84,ZA,overcast clouds,2022-08-11 19:48:36
Georgetown,5.4112,100.3354,82.89,86,20,2.3,MY,few clouds,2022-08-11 19:54:42
Nemuro,43.3236,145.575,65.43,100,100,12.17,JP,overcast clouds,2022-08-11 19:54:44
Soverato,38.685,16.5499,75.15,70,5,4.97,IT,clear sky,2022-08-11 19:54:45
Bethel,41.3712,-73.414,90.63,45,0,3.44,US,clear sky,2022-08-11 19:51:26
East London,-33.0153,27.9116,65.25,81,100,5.84,ZA,overcast clouds,2022-08-11 19:48:36
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Kaitangata,-46.2817,169.8464,31.35,90,10,6.2,NZ,clear sky,2022-08-11 19:54:50
Eyl,7.9803,49.8164,77.43,72,75,19.66,SO,broken clouds,2022-08-11 19:54:51
Jardim,-21.4803,-56.1381,73.2,36,0,6.73,BR,clear sky,2022-08-11 19:54:53
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Khatanga,71.9667,102.5,44.11,66,100,6.26,RU,overcast clouds,2022-08-11 19:51:57
Deputatskiy,69.3,139.9,47.07,82,100,4.52,RU,overcast clouds,2022-08-11 19:54:56
Rabo De Peixe,37.8,-25.5833,74.71,73,20,9.22,PT,few clouds,2022-08-11 19:54:57
Trelew,-43.249,-65.3051,62.53,28,20,8.59,AR,few clouds,2022-08-11 19:52:16
Avarua,-21.2078,-159.775,75.25,83,20,12.66,CK,few clouds,2022-08-11 19:50:59
Bredasdorp,-34.5322,20.0403,52.79,86,100,5.68,ZA,overcast clouds,2022-08-11 19:52:13
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Naze,28.3667,129.4833,79.72,83,100,5.73,JP,overcast clouds,2022-08-11 19:50:41
Lebu,-37.6167,-73.65,52.5,80,100,3.96,CL,overcast clouds,2022-08-11 19:53:58
Cabedelo,-6.9811,-34.8339,81.27,76,39,8.28,BR,scattered clouds,2022-08-11 19:55:07
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Barrow,71.2906,-156.7887,44.62,87,100,20.71,US,mist,2022-08-11 19:50:03
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Tuktoyaktuk,69.4541,-133.0374,53.6,82,100,20.71,CA,light rain,2022-08-11 19:47:34
Longyearbyen,78.2186,15.6401,46.24,76,75,6.91,SJ,broken clouds,2022-08-11 19:51:36
Qaanaaq,77.484,-69.3632,39.07,71,97,7.07,GL,overcast clouds,2022-08-11 19:53:04
Nenjiang,49.1833,125.2167,55.51,86,53,3.53,CN,broken clouds,2022-08-11 19:55:17
Castro,-24.7911,-50.0119,56.46,59,0,5.84,BR,clear sky,2022-08-11 19:53:08
Sechura,-5.5569,-80.8222,74.64,58,72,14.52,PE,broken clouds,2022-08-11 19:55:20
Upernavik,72.7868,-56.1549,41.95,79,100,9.08,GL,overcast clouds,2022-08-11 19:55:22
Abu Dhabi,24.4667,54.3667,95.02,79,99,4.61,AE,overcast clouds,2022-08-11 19:53:30
Kapaa,22.0752,-159.319,82.38,72,74,5.99,US,broken clouds,2022-08-11 19:55:24
East London,-33.0153,27.9116,65.25,81,100,5.84,ZA,overcast clouds,2022-08-11 19:48:36
Denpasar,-8.65,115.2167,80.26,88,40,9.22,ID,scattered clouds,2022-08-11 19:53:45
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Treinta Y Tres,-33.2333,-54.3833,59.4,72,5,6.96,UY,clear sky,2022-08-11 19:55:29
Castro,-24.7911,-50.0119,56.46,59,0,5.84,BR,clear sky,2022-08-11 19:53:08
Kroya,-7.6331,109.2461,75.83,92,61,2.48,ID,broken clouds,2022-08-11 19:55:31
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Sandwick,60.0,-1.25,55.22,94,75,14.97,GB,light rain,2022-08-11 19:55:35
Tambovka,50.0969,128.0489,51.84,95,33,6.15,RU,scattered clouds,2022-08-11 19:55:36
Isangel,-19.55,169.2667,69.96,61,6,14.25,VU,clear sky,2022-08-11 19:55:38
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Avarua,-21.2078,-159.775,75.25,83,20,12.66,CK,few clouds,2022-08-11 19:50:59
Hamilton,39.1834,-84.5333,86.63,57,47,3.0,US,scattered clouds,2022-08-11 19:55:08
Nichinan,31.6,131.3667,78.28,89,82,4.63,JP,broken clouds,2022-08-11 19:55:43
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Arraial Do Cabo,-22.9661,-42.0278,69.76,78,40,25.32,BR,scattered clouds,2022-08-11 19:55:47
Tsabong,-26.0217,22.401,68.07,21,56,12.77,BW,broken clouds,2022-08-11 19:55:48
Upernavik,72.7868,-56.1549,41.95,79,100,9.08,GL,overcast clouds,2022-08-11 19:55:22
Jamestown,42.097,-79.2353,76.59,46,75,10.36,US,broken clouds,2022-08-11 19:48:42
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Fort-Shevchenko,44.5086,50.263,83.95,49,11,7.54,KZ,few clouds,2022-08-11 19:55:53
Tiksi,71.6872,128.8694,40.28,97,100,12.39,RU,overcast clouds,2022-08-11 19:52:58
Quatre Cocos,-20.2078,57.7625,68.11,70,83,17.98,MU,light rain,2022-08-11 19:54:18
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Kapaa,22.0752,-159.319,82.38,72,74,5.99,US,broken clouds,2022-08-11 19:55:24
Ilulissat,69.2167,-51.1,36.41,96,100,1.43,GL,overcast clouds,2022-08-11 19:55:59
Avarua,-21.2078,-159.775,75.25,83,20,12.66,CK,few clouds,2022-08-11 19:50:59
Jamestown,42.097,-79.2353,76.59,46,75,10.36,US,broken clouds,2022-08-11 19:48:42
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Aksu,41.1231,80.2644,81.3,36,97,7.83,CN,overcast clouds,2022-08-11 19:56:04
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Evans,33.5337,-82.1307,89.04,56,100,8.01,US,overcast clouds,2022-08-11 19:56:06
Rio Gallegos,-51.6226,-69.2181,41.05,65,20,9.22,AR,few clouds,2022-08-11 19:51:39
Tuatapere,-46.1333,167.6833,33.13,86,3,5.32,NZ,clear sky,2022-08-11 19:56:09
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Nkhotakota,-12.9274,34.2961,69.91,50,38,3.51,MW,scattered clouds,2022-08-11 19:56:12
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Tuktoyaktuk,69.4541,-133.0374,53.6,82,100,20.71,CA,light rain,2022-08-11 19:47:34
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Cidreira,-30.1811,-50.2056,61.41,78,2,6.93,BR,clear sky,2022-08-11 19:56:20
Lieksa,63.3167,30.0167,60.33,79,63,10.33,FI,broken clouds,2022-08-11 19:56:21
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Novopokrovka,49.8425,36.5477,78.73,39,100,8.97,UA,overcast clouds,2022-08-11 19:56:25
Nanortalik,60.1432,-45.2371,45.59,89,49,8.43,GL,scattered clouds,2022-08-11 19:56:26
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Phan Thiet,10.9333,108.1,74.95,89,60,5.93,VN,broken clouds,2022-08-11 19:56:29
Aklavik,68.2191,-135.0107,62.6,59,20,5.75,CA,few clouds,2022-08-11 19:53:40
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Vaini,-21.2,-175.2,73.56,83,40,11.5,TO,scattered clouds,2022-08-11 19:46:52
Mar Del Plata,-38.0023,-57.5575,60.82,65,0,18.41,AR,clear sky,2022-08-11 19:48:58
Zyryanka,65.75,150.85,63.57,63,98,7.94,RU,overcast clouds,2022-08-11 19:56:38
Nisia Floresta,-6.0911,-35.2086,84.58,79,17,7.11,BR,few clouds,2022-08-11 19:56:40
Naliya,23.2667,68.8333,82.8,89,100,3.38,IN,moderate rain,2022-08-11 19:56:41
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Olga,43.7444,135.2892,62.29,87,9,4.43,RU,clear sky,2022-08-11 19:56:44
Kapaa,22.0752,-159.319,82.38,72,74,5.99,US,broken clouds,2022-08-11 19:55:24
Bull Savanna,17.8868,-77.5902,85.42,60,10,15.48,JM,clear sky,2022-08-11 19:56:46
Midyat,37.4247,41.3393,82.35,32,0,5.68,TR,clear sky,2022-08-11 19:56:48
Jamestown,42.097,-79.2353,76.59,46,75,10.36,US,broken clouds,2022-08-11 19:48:42
Vagur,61.4732,-6.8119,51.76,85,100,13.89,FO,overcast clouds,2022-08-11 19:56:51
Adrar,20.5022,-10.0711,100.99,23,0,9.53,MR,clear sky,2022-08-11 19:56:53
Imbituba,-28.24,-48.6703,66.85,90,63,8.01,BR,broken clouds,2022-08-11 19:54:07
Upernavik,72.7868,-56.1549,41.95,79,100,9.08,GL,overcast clouds,2022-08-11 19:55:22
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Sangar,63.9242,127.4739,53.98,96,43,1.43,RU,scattered clouds,2022-08-11 19:54:11
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Bethel,41.3712,-73.414,90.63,45,0,3.44,US,clear sky,2022-08-11 19:51:26
Nemuro,43.3236,145.575,65.43,100,100,12.17,JP,overcast clouds,2022-08-11 19:54:44
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:47:45
Georgetown,5.4112,100.3354,82.89,86,20,2.3,MY,few clouds,2022-08-11 19:54:42
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Gat,31.61,34.7642,81.28,100,0,6.33,IL,clear sky,2022-08-11 19:57:03
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Zyryanka,65.75,150.85,63.57,63,98,7.94,RU,overcast clouds,2022-08-11 19:56:38
Vaini,-21.2,-175.2,73.56,83,40,11.5,TO,scattered clouds,2022-08-11 19:46:52
Samarai,-10.6167,150.6667,78.84,82,98,17.54,PG,overcast clouds,2022-08-11 19:57:10
Quelimane,-17.8786,36.8883,68.16,84,0,4.7,MZ,clear sky,2022-08-11 19:57:11
Pevek,69.7008,170.3133,36.66,92,88,6.17,RU,overcast clouds,2022-08-11 19:57:12
Bandarbeyla,9.4942,50.8122,76.39,80,100,28.72,SO,overcast clouds,2022-08-11 19:57:14
Cidreira,-30.1811,-50.2056,61.41,78,2,6.93,BR,clear sky,2022-08-11 19:56:20
Alyangula,-13.8483,136.4192,69.62,77,29,8.59,AU,scattered clouds,2022-08-11 19:57:16
Jamame,0.0722,42.7506,73.94,78,15,11.5,SO,few clouds,2022-08-11 19:57:18
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:53:58
Yellowknife,62.456,-114.3525,63.12,39,20,13.8,CA,few clouds,2022-08-11 19:45:17
Saint-Philippe,-21.3585,55.7679,64.22,69,41,13.31,RE,scattered clouds,2022-08-11 19:57:22
Plaisance-Du-Touch,43.5657,1.2975,85.8,58,0,11.5,FR,clear sky,2022-08-11 19:57:24
Kurilsk,45.2333,147.8833,64.42,98,100,5.57,RU,heavy intensity rain,2022-08-11 19:57:25
Geraldton,-28.7667,114.6,48.61,81,0,12.66,AU,clear sky,2022-08-11 19:57:27
Nikolskoye,59.7035,30.7861,67.89,68,100,7.52,RU,overcast clouds,2022-08-11 19:48:31
Khatanga,71.9667,102.5,44.11,66,100,6.26,RU,overcast clouds,2022-08-11 19:51:57
Bluff,-46.6,168.3333,38.57,85,98,10.65,NZ,overcast clouds,2022-08-11 19:49:37
Qaanaaq,77.484,-69.3632,39.07,71,97,7.07,GL,overcast clouds,2022-08-11 19:53:04
Pangnirtung,66.1451,-65.7125,51.8,71,40,10.36,CA,scattered clouds,2022-08-11 19:57:34
Albany,42.6001,-73.9662,84.38,51,93,10.74,US,overcast clouds,2022-08-11 19:55:09
Beloha,-25.1667,45.05,66.34,56,0,9.95,MG,clear sky,2022-08-11 19:57:36
Bilma,18.6853,12.9164,97.3,9,34,9.26,NE,scattered clouds,2022-08-11 19:57:38
Maningrida,-12.0667,134.2667,66.78,93,22,6.67,AU,few clouds,2022-08-11 19:57:39
Albany,42.6001,-73.9662,84.38,51,93,10.74,US,overcast clouds,2022-08-11 19:55:09
Requena,39.4883,-1.1004,74.79,57,1,5.93,ES,clear sky,2022-08-11 19:57:42
Gornyy,55.1153,83.9059,61.66,80,61,7.92,RU,broken clouds,2022-08-11 19:57:43
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Tura,25.5198,90.2201,73.51,94,29,4.36,IN,scattered clouds,2022-08-11 19:57:45
Chokurdakh,70.6333,147.9167,49.68,70,100,8.3,RU,overcast clouds,2022-08-11 19:52:21
Ilulissat,69.2167,-51.1,36.41,96,100,1.43,GL,overcast clouds,2022-08-11 19:55:59
Butaritari,3.0707,172.7902,81.86,74,99,12.19,KI,overcast clouds,2022-08-11 19:52:07
Bethel,41.3712,-73.414,90.63,45,0,3.44,US,clear sky,2022-08-11 19:51:26
Denham Springs,30.4869,-90.9562,82.9,84,75,12.66,US,haze,2022-08-11 19:57:52
Lorengau,-2.0226,147.2712,79.95,79,48,5.35,PG,scattered clouds,2022-08-11 19:57:53
Bluff,-46.6,168.3333,38.57,85,98,10.65,NZ,overcast clouds,2022-08-11 19:49:37
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Ambilobe,-13.2,49.05,64.83,74,1,5.46,MG,clear sky,2022-08-11 19:57:57
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Rio Grande,-32.035,-52.0986,68.11,78,0,6.33,BR,clear sky,2022-08-11 19:58:00
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:55:31
Aklavik,68.2191,-135.0107,62.6,59,20,5.75,CA,few clouds,2022-08-11 19:53:40
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:55:31
Maceio,-9.6658,-35.7353,80.04,78,20,9.22,BR,few clouds,2022-08-11 19:58:07
Yulara,-25.2406,130.9889,45.52,47,0,9.08,AU,clear sky,2022-08-11 19:54:15
Lat Yao,15.751,99.7893,77.5,80,100,6.44,TH,overcast clouds,2022-08-11 19:58:09
Butaritari,3.0707,172.7902,81.86,74,99,12.19,KI,overcast clouds,2022-08-11 19:52:07
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:58:12
Ancud,-41.8697,-73.8203,48.49,91,100,19.75,CL,moderate rain,2022-08-11 19:50:35
Saint-Ambroise,48.5501,-71.3324,71.92,54,74,9.17,CA,broken clouds,2022-08-11 19:58:14
Crestview,30.7621,-86.5705,79.25,96,100,8.05,US,heavy intensity rain,2022-08-11 19:56:37
Codrington,-38.2667,141.9667,46.22,83,100,7.63,AU,overcast clouds,2022-08-11 19:51:31
Tura,25.5198,90.2201,73.51,94,29,4.36,IN,scattered clouds,2022-08-11 19:57:45
Jamestown,42.097,-79.2353,76.59,46,75,10.36,US,broken clouds,2022-08-11 19:48:42
Batagay-Alyta,67.8006,130.4114,49.44,81,99,5.68,RU,overcast clouds,2022-08-11 19:58:20
Butaritari,3.0707,172.7902,81.86,74,99,12.19,KI,overcast clouds,2022-08-11 19:52:07
Cherskiy,68.75,161.3,60.51,61,95,6.46,RU,overcast clouds,2022-08-11 19:47:45
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:55:31
Vytegra,61.0064,36.4481,63.23,66,84,11.72,RU,broken clouds,2022-08-11 19:58:27
Florianopolis,-27.6146,-48.5012,65.62,83,75,10.36,BR,broken clouds,2022-08-11 19:58:29
Laramie,41.3114,-105.5911,89.1,27,2,1.01,US,clear sky,2022-08-11 19:58:30
Malmyzh,56.5205,50.6818,57.51,79,0,4.12,RU,clear sky,2022-08-11 19:58:32
Barcelona,41.3888,2.159,87.13,71,0,6.91,ES,clear sky,2022-08-11 19:58:08
Mizdah,31.4451,12.9801,80.67,46,0,12.55,LY,clear sky,2022-08-11 19:53:53
Kapaa,22.0752,-159.319,82.38,72,74,5.99,US,broken clouds,2022-08-11 19:55:24
New Norfolk,-42.7826,147.0587,42.91,81,96,0.89,AU,overcast clouds,2022-08-11 19:55:44
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Hualmay,-11.0964,-77.6139,66.6,70,18,9.48,PE,few clouds,2022-08-11 19:58:40
Sinazongwe,-17.2614,27.4618,69.89,42,0,2.93,ZM,clear sky,2022-08-11 19:58:41
Tuktoyaktuk,69.4541,-133.0374,53.6,82,100,20.71,CA,light rain,2022-08-11 19:58:42
Albany,42.6001,-73.9662,84.38,51,93,10.74,US,overcast clouds,2022-08-11 19:55:09
Asyut,27.181,31.1837,89.78,22,0,7.34,EG,clear sky,2022-08-11 19:58:47
Birao,10.2849,22.7882,72.14,96,100,4.92,CF,light rain,2022-08-11 19:58:48
Saint-Philippe,-21.3585,55.7679,64.22,69,41,13.31,RE,scattered clouds,2022-08-11 19:57:22
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:58:12
Biella,45.5871,8.0859,73.69,66,94,5.19,IT,overcast clouds,2022-08-11 19:58:53
Upington,-28.4478,21.2561,55.78,38,12,5.75,ZA,few clouds,2022-08-11 19:58:54
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:58:12
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:58:57
Hilo,19.7297,-155.09,90.28,92,69,1.99,US,broken clouds,2022-08-11 19:56:34
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:53:58
Albanel,48.8832,-72.4487,69.94,61,82,12.5,CA,broken clouds,2022-08-11 19:59:03
Nikolskoye,59.7035,30.7861,67.89,68,100,7.52,RU,overcast clouds,2022-08-11 19:59:04
Tabuk,17.4189,121.4443,73.98,92,100,1.68,PH,overcast clouds,2022-08-11 19:59:05
Bluff,-46.6,168.3333,38.57,85,98,10.65,NZ,overcast clouds,2022-08-11 19:49:37
Airai,-8.9266,125.4092,56.88,93,61,3.13,TL,broken clouds,2022-08-11 19:49:29
Castro,-24.7911,-50.0119,56.46,59,0,5.84,BR,clear sky,2022-08-11 19:53:08
Hilo,19.7297,-155.09,90.28,92,69,1.99,US,broken clouds,2022-08-11 19:56:34
Nokaneng,-19.6667,22.2667,64.33,17,0,4.59,BW,clear sky,2022-08-11 19:59:12
Coihaique,-45.5752,-72.0662,48.81,61,75,6.91,CL,broken clouds,2022-08-11 19:52:34
Albany,42.6001,-73.9662,84.38,51,93,10.74,US,overcast clouds,2022-08-11 19:55:09
Hermanus,-34.4187,19.2345,54.81,77,100,13.11,ZA,overcast clouds,2022-08-11 19:59:17
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:55:31
Wad Madani,14.4012,33.5199,78.78,74,23,12.77,SD,few clouds,2022-08-11 19:59:19
Thompson,55.7435,-97.8558,77.16,47,20,9.22,CA,few clouds,2022-08-11 19:50:54
Mahebourg,-20.4081,57.7,68.29,64,20,13.8,MU,few clouds,2022-08-11 19:59:22
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:55:31
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:59:25
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:54:03
